Region,Site_Name,Lat,Long,file code
KATM,Amalik Bay,58.079222,-154.466,A
KATM,Kaflia Bay,58.256944,-154.197694,B
KATM,Kinak Bay,58.186556,-154.46575,C
KATM,Kukak Bay,58.316583,-154.206583,D
KATM,Takli Island,58.0635,-154.484056,E
KEFJ,Aialik Bay,59.87664,-149.63289,F
KEFJ,Harris Bay,59.73766,-149.95837,G
KEFJ,McCarty Fjord,59.50853,-150.34178,H
KEFJ,Nuka Bay,59.53723,-150.60713,I
KEFJ,Nuka Passage,59.42071,-150.64696,J
WPWS,Herring Bay,60.45989,-147.71753,K
WPWS,Hogan Bay,60.20197,-147.75984,L
WPWS,Iktua Bay,60.13004,-147.99828,M
WPWS,Johnson Bay,60.33995,-147.83482,N
WPWS,Whale Bay,60.22661,-148.25105,O
