Cruise:,TXF13,,,,,,,,
nd:,not determined,,,,,,,,
Comment:,"This data set is for the Seward Line only. Additional chl samples collected from the SEM, SEL, SEK, SEJ, SEI, SEG, SEE, SEC, SEA, YBC and KIB lines can be found on the GOA-IERP/AOOS Workspace",,,,,,,,
CTD_Cast,Station_Name,Date,Niskin,Depth_m,Size_Fraction,<20_Chl_A (µg/L),>20_Chl_A (µg/L),Total_Chl_A (µg/L),Total_Phaeo (µg/L)
106,GAK6,9/24/2013,7,30,<20,0.18,,,
106,GAK6,9/24/2013,6,40,<20,0.09,,,
106,GAK6,9/24/2013,5,50,<20,0.21,,,
106,GAK6,9/24/2013,11,0,>20,0.07,,,
106,GAK6,9/24/2013,10,10,>20,0.06,,,
106,GAK6,9/24/2013,8,20,>20,0.05,,,
106,GAK6,9/24/2013,7,30,>20,0.01,,,
106,GAK6,9/24/2013,6,40,>20,0.01,,,
106,GAK6,9/24/2013,5,50,>20,0.02,,,
106,GAK6,9/24/2013,11,0,Total,1.09,,,
106,GAK6,9/24/2013,10,10,Total,0.95,,,
106,GAK6,9/24/2013,8,20,Total,0.65,,,
106,GAK6,9/24/2013,7,30,Total,0.2,,,
106,GAK6,9/24/2013,6,40,Total,0.1,,,
106,GAK6,9/24/2013,5,50,Total,0.22,,,
106,GAK6,9/24/2013,11,0,Total_Phaeo (µg/L),0.28,,,
106,GAK6,9/24/2013,10,10,Total_Phaeo (µg/L),0.29,,,
106,GAK6,9/24/2013,8,20,Total_Phaeo (µg/L),0.24,,,
106,GAK6,9/24/2013,7,30,Total_Phaeo (µg/L),0.11,,,
106,GAK6,9/24/2013,6,40,Total_Phaeo (µg/L),0.05,,,
106,GAK6,9/24/2013,5,50,Total_Phaeo (µg/L),0.08,,,
107,GAK5,9/26/2013,11,0,<20,0.89,,,
107,GAK5,9/26/2013,10,10,<20,0.88,,,
107,GAK5,9/26/2013,8,20,<20,0.72,,,
107,GAK5,9/26/2013,7,30,<20,0.49,,,
107,GAK5,9/26/2013,6,40,<20,0.07,,,
107,GAK5,9/26/2013,5,50,<20,0.04,,,
107,GAK5,9/26/2013,11,0,>20,0.03,,,
107,GAK5,9/26/2013,10,10,>20,0.04,,,
107,GAK5,9/26/2013,8,20,>20,0.03,,,
107,GAK5,9/26/2013,7,30,>20,0.03,,,
107,GAK5,9/26/2013,6,40,>20,0.01,,,
107,GAK5,9/26/2013,5,50,>20,0.01,,,
107,GAK5,9/26/2013,11,0,Total,0.92,,,
107,GAK5,9/26/2013,10,10,Total,0.92,,,
107,GAK5,9/26/2013,8,20,Total,0.75,,,
107,GAK5,9/26/2013,7,30,Total,0.52,,,
107,GAK5,9/26/2013,6,40,Total,0.08,,,
107,GAK5,9/26/2013,5,50,Total,0.05,,,
107,GAK5,9/26/2013,11,0,Total_Phaeo (µg/L),0.26,,,
107,GAK5,9/26/2013,10,10,Total_Phaeo (µg/L),0.26,,,
107,GAK5,9/26/2013,8,20,Total_Phaeo (µg/L),0.29,,,
107,GAK5,9/26/2013,7,30,Total_Phaeo (µg/L),0.22,,,
107,GAK5,9/26/2013,6,40,Total_Phaeo (µg/L),0.04,,,
107,GAK5,9/26/2013,5,50,Total_Phaeo (µg/L),0.02,,,
109,GAK4,9/26/2013,11,0,<20,1.98,,,
109,GAK4,9/26/2013,10,5,<20,1.07,,,
109,GAK4,9/26/2013,8,9,<20,0.98,,,
109,GAK4,9/26/2013,7,18,<20,0.3,,,
109,GAK4,9/26/2013,5,23,<20,0.23,,,
109,GAK4,9/26/2013,4,30,<20,0.09,,,
109,GAK4,9/26/2013,3,40,<20,0.05,,,
109,GAK4,9/26/2013,2,50,<20,0.04,,,
109,GAK4,9/26/2013,11,0,>20,2.7,,,
109,GAK4,9/26/2013,10,5,>20,1.01,,,
109,GAK4,9/26/2013,8,9,>20,0.62,,,
109,GAK4,9/26/2013,7,18,>20,0.12,,,
109,GAK4,9/26/2013,5,23,>20,0.06,,,
109,GAK4,9/26/2013,4,30,>20,0.04,,,
109,GAK4,9/26/2013,3,40,>20,0.02,,,
109,GAK4,9/26/2013,2,50,>20,0.02,,,
109,GAK4,9/26/2013,11,0,Total,4.68,,,
109,GAK4,9/26/2013,10,5,Total,2.08,,,
109,GAK4,9/26/2013,8,9,Total,1.6,,,
109,GAK4,9/26/2013,7,18,Total,0.42,,,
109,GAK4,9/26/2013,5,23,Total,0.29,,,
109,GAK4,9/26/2013,4,30,Total,0.12,,,
109,GAK4,9/26/2013,3,40,Total,0.07,,,
109,GAK4,9/26/2013,2,50,Total,0.05,,,
109,GAK4,9/26/2013,11,0,Total_Phaeo (µg/L),0.24,,,
109,GAK4,9/26/2013,10,5,Total_Phaeo (µg/L),0.17,,,
109,GAK4,9/26/2013,8,9,Total_Phaeo (µg/L),0.17,,,
109,GAK4,9/26/2013,7,18,Total_Phaeo (µg/L),0.12,,,
109,GAK4,9/26/2013,5,23,Total_Phaeo (µg/L),0.14,,,
109,GAK4,9/26/2013,4,30,Total_Phaeo (µg/L),0.08,,,
109,GAK4,9/26/2013,3,40,Total_Phaeo (µg/L),0.04,,,
109,GAK4,9/26/2013,2,50,Total_Phaeo (µg/L),0.05,,,
110,GAK3,9/26/2013,12,0,<20,1.2,,,
110,GAK3,9/26/2013,11,10,<20,1.03,,,
110,GAK3,9/26/2013,10,20,<20,0.54,,,
110,GAK3,9/26/2013,8,30,<20,0.22,,,
110,GAK3,9/26/2013,7,40,<20,0.26,,,
110,GAK3,9/26/2013,6,50,<20,0.05,,,
110,GAK3,9/26/2013,12,0,>20,0.18,,,
110,GAK3,9/26/2013,11,10,>20,0.17,,,
110,GAK3,9/26/2013,10,20,>20,0.14,,,
110,GAK3,9/26/2013,8,30,>20,0.05,,,
110,GAK3,9/26/2013,7,40,>20,0.06,,,
110,GAK3,9/26/2013,6,50,>20,0.02,,,
110,GAK3,9/26/2013,12,0,Total,1.39,,,
110,GAK3,9/26/2013,11,10,Total,1.2,,,
110,GAK3,9/26/2013,10,20,Total,0.68,,,
110,GAK3,9/26/2013,8,30,Total,0.27,,,
110,GAK3,9/26/2013,7,40,Total,0.33,,,
110,GAK3,9/26/2013,6,50,Total,0.07,,,
110,GAK3,9/26/2013,12,0,Total_Phaeo (µg/L),0.3,,,
110,GAK3,9/26/2013,11,10,Total_Phaeo (µg/L),0.26,,,
110,GAK3,9/26/2013,10,20,Total_Phaeo (µg/L),0.23,,,
110,GAK3,9/26/2013,8,30,Total_Phaeo (µg/L),0.12,,,
110,GAK3,9/26/2013,7,40,Total_Phaeo (µg/L),0.12,,,
110,GAK3,9/26/2013,6,50,Total_Phaeo (µg/L),0.01,,,
111,GAK2,9/26/2013,12,0,<20,1.46,,,
111,GAK2,9/26/2013,11,10,<20,0.65,,,
111,GAK2,9/26/2013,10,20,<20,0.3,,,
111,GAK2,9/26/2013,8,30,<20,0.16,,,
111,GAK2,9/26/2013,7,40,<20,0.19,,,
111,GAK2,9/26/2013,6,50,<20,0.1,,,
111,GAK2,9/26/2013,12,0,>20,0.97,,,
111,GAK2,9/26/2013,11,10,>20,0.38,,,
111,GAK2,9/26/2013,10,20,>20,0.17,,,
111,GAK2,9/26/2013,8,30,>20,0.09,,,
111,GAK2,9/26/2013,7,40,>20,0.07,,,
111,GAK2,9/26/2013,6,50,>20,0.05,,,
111,GAK2,9/26/2013,12,0,Total,2.43,,,
111,GAK2,9/26/2013,11,10,Total,1.04,,,
111,GAK2,9/26/2013,10,20,Total,0.47,,,
111,GAK2,9/26/2013,8,30,Total,0.25,,,
111,GAK2,9/26/2013,7,40,Total,0.26,,,
111,GAK2,9/26/2013,6,50,Total,0.15,,,
111,GAK2,9/26/2013,12,0,Total_Phaeo (µg/L),0.27,,,
111,GAK2,9/26/2013,11,10,Total_Phaeo (µg/L),0.2,,,
111,GAK2,9/26/2013,10,20,Total_Phaeo (µg/L),0.16,,,
111,GAK2,9/26/2013,8,30,Total_Phaeo (µg/L),0.11,,,
111,GAK2,9/26/2013,7,40,Total_Phaeo (µg/L),0.08,,,
111,GAK2,9/26/2013,6,50,Total_Phaeo (µg/L),0.04,,,
112,GAK1,9/26/2013,12,0,<20,3.86,,,
112,GAK1,9/26/2013,11,10,<20,0.27,,,
112,GAK1,9/26/2013,10,20,<20,0.19,,,
112,GAK1,9/26/2013,8,30,<20,0.13,,,
112,GAK1,9/26/2013,7,40,<20,0.36,,,
112,GAK1,9/26/2013,6,50,<20,0.05,,,
