Cruise:,TXF14,,,,,
nd:,not determined,,,,,
,,,,,,
CTD_Cast,Station_Name,Date,Niskin,Depth_m,Size_Fraction,Chl-a_ug/L
1,Res 2.5,9/13/2014,13,0,<20,NA
1,Res 2.5,9/13/2014,12,10,<20,NA
1,Res 2.5,9/13/2014,11,20,<20,NA
1,Res 2.5,9/13/2014,10,30,<20,NA
1,Res 2.5,9/13/2014,9,40,<20,NA
1,Res 2.5,9/13/2014,8,50,<20,NA
1,Res 2.5,9/13/2014,13,0,>20,NA
1,Res 2.5,9/13/2014,12,10,>20,NA
1,Res 2.5,9/13/2014,11,20,>20,NA
1,Res 2.5,9/13/2014,10,30,>20,NA
1,Res 2.5,9/13/2014,9,40,>20,NA
1,Res 2.5,9/13/2014,8,50,>20,NA
1,Res 2.5,9/13/2014,13,0,Total,0.76
1,Res 2.5,9/13/2014,12,10,Total,0.56
1,Res 2.5,9/13/2014,11,20,Total,0.48
1,Res 2.5,9/13/2014,10,30,Total,0.39
1,Res 2.5,9/13/2014,9,40,Total,0.15
1,Res 2.5,9/13/2014,8,50,Total,0.12
1,Res 2.5,9/13/2014,13,0,Total_Phaeo (µg/L),0.23
1,Res 2.5,9/13/2014,12,10,Total_Phaeo (µg/L),0.2
1,Res 2.5,9/13/2014,11,20,Total_Phaeo (µg/L),0.21
1,Res 2.5,9/13/2014,10,30,Total_Phaeo (µg/L),0.17
1,Res 2.5,9/13/2014,9,40,Total_Phaeo (µg/L),0.1
1,Res 2.5,9/13/2014,8,50,Total_Phaeo (µg/L),0.07
3,GAK1,9/13/2014,14,0,<20,0.48
3,GAK1,9/13/2014,13,10,<20,0.52
3,GAK1,9/13/2014,12,20,<20,0.56
3,GAK1,9/13/2014,11,30,<20,0.46
3,GAK1,9/13/2014,10,40,<20,0.36
3,GAK1,9/13/2014,9,50,<20,0.31
3,GAK1,9/13/2014,14,0,>20,0.1
3,GAK1,9/13/2014,13,10,>20,0.08
3,GAK1,9/13/2014,12,20,>20,0.07
3,GAK1,9/13/2014,11,30,>20,0.07
3,GAK1,9/13/2014,10,40,>20,0.04
3,GAK1,9/13/2014,9,50,>20,0.03
3,GAK1,9/13/2014,14,0,Total,0.58
3,GAK1,9/13/2014,13,10,Total,0.6
3,GAK1,9/13/2014,12,20,Total,0.63
3,GAK1,9/13/2014,11,30,Total,0.53
3,GAK1,9/13/2014,10,40,Total,0.41
3,GAK1,9/13/2014,9,50,Total,0.34
3,GAK1,9/13/2014,14,0,Total_Phaeo (µg/L),0.23
3,GAK1,9/13/2014,13,10,Total_Phaeo (µg/L),0.27
3,GAK1,9/13/2014,12,20,Total_Phaeo (µg/L),0.27
3,GAK1,9/13/2014,11,30,Total_Phaeo (µg/L),0.27
3,GAK1,9/13/2014,10,40,Total_Phaeo (µg/L),0.21
3,GAK1,9/13/2014,9,50,Total_Phaeo (µg/L),0.18
4,GAK2,9/13/2014,14,0,<20,0.58
4,GAK2,9/13/2014,13,10,<20,0.62
4,GAK2,9/13/2014,12,20,<20,0.52
4,GAK2,9/13/2014,11,30,<20,0.33
4,GAK2,9/13/2014,9,50,<20,0.46
4,GAK2,9/13/2014,14,0,>20,0.08
4,GAK2,9/13/2014,13,10,>20,0.09
4,GAK2,9/13/2014,12,20,>20,0.08
4,GAK2,9/13/2014,11,30,>20,0.04
4,GAK2,9/13/2014,9,50,>20,0.03
4,GAK2,9/13/2014,14,0,Total,0.67
4,GAK2,9/13/2014,13,10,Total,0.71
4,GAK2,9/13/2014,12,20,Total,0.6
4,GAK2,9/13/2014,11,30,Total,0.36
4,GAK2,9/13/2014,9,50,Total,0.48
4,GAK2,9/13/2014,14,0,Total_Phaeo (µg/L),0.2
4,GAK2,9/13/2014,13,10,Total_Phaeo (µg/L),0.26
4,GAK2,9/13/2014,12,20,Total_Phaeo (µg/L),0.25
4,GAK2,9/13/2014,11,30,Total_Phaeo (µg/L),0.23
4,GAK2,9/13/2014,9,50,Total_Phaeo (µg/L),0.23
5,GAK3,9/13/2014,13,0,<20,0.59
5,GAK3,9/13/2014,12,10,<20,0.68
5,GAK3,9/13/2014,11,20,<20,0.24
5,GAK3,9/13/2014,10,30,<20,0.15
5,GAK3,9/13/2014,9,40,<20,0.06
5,GAK3,9/13/2014,6,50,<20,0.08
5,GAK3,9/13/2014,13,0,>20,0.04
5,GAK3,9/13/2014,12,10,>20,0.03
5,GAK3,9/13/2014,11,20,>20,0.02
5,GAK3,9/13/2014,10,30,>20,0.02
5,GAK3,9/13/2014,9,40,>20,0.02
5,GAK3,9/13/2014,6,50,>20,0.01
5,GAK3,9/13/2014,13,0,Total,0.62
5,GAK3,9/13/2014,12,10,Total,0.71
5,GAK3,9/13/2014,11,20,Total,0.26
5,GAK3,9/13/2014,10,30,Total,0.17
5,GAK3,9/13/2014,9,40,Total,0.07
5,GAK3,9/13/2014,6,50,Total,0.08
5,GAK3,9/13/2014,13,0,Total_Phaeo (µg/L),0.23
5,GAK3,9/13/2014,12,10,Total_Phaeo (µg/L),0.29
5,GAK3,9/13/2014,11,20,Total_Phaeo (µg/L),0.15
5,GAK3,9/13/2014,10,30,Total_Phaeo (µg/L),0.08
5,GAK3,9/13/2014,9,40,Total_Phaeo (µg/L),0.1
5,GAK3,9/13/2014,6,50,Total_Phaeo (µg/L),0.08
6,GAK4,9/14/2014,13,0,<20,0.78
6,GAK4,9/14/2014,12,10,<20,0.78
6,GAK4,9/14/2014,11,20,<20,0.56
6,GAK4,9/14/2014,10,30,<20,0.12
6,GAK4,9/14/2014,9,40,<20,0.08
6,GAK4,9/14/2014,6,50,<20,0.08
6,GAK4,9/14/2014,13,0,>20,0.04
6,GAK4,9/14/2014,12,10,>20,0.04
6,GAK4,9/14/2014,11,20,>20,0.03
6,GAK4,9/14/2014,10,30,>20,0.01
6,GAK4,9/14/2014,9,40,>20,0.01
6,GAK4,9/14/2014,6,50,>20,0.01
6,GAK4,9/14/2014,13,0,Total,0.81
6,GAK4,9/14/2014,12,10,Total,0.82
6,GAK4,9/14/2014,11,20,Total,0.59
6,GAK4,9/14/2014,10,30,Total,0.13
6,GAK4,9/14/2014,9,40,Total,0.09
6,GAK4,9/14/2014,6,50,Total,0.08
6,GAK4,9/14/2014,13,0,Total_Phaeo (µg/L),0.27
6,GAK4,9/14/2014,12,10,Total_Phaeo (µg/L),0.3
6,GAK4,9/14/2014,11,20,Total_Phaeo (µg/L),0.21
6,GAK4,9/14/2014,10,30,Total_Phaeo (µg/L),0.09
6,GAK4,9/14/2014,9,40,Total_Phaeo (µg/L),0.1
6,GAK4,9/14/2014,6,50,Total_Phaeo (µg/L),0.1
9,GAK5,9/14/2014,14,0,<20,0.79
9,GAK5,9/14/2014,13,10,<20,0.77
9,GAK5,9/14/2014,12,20,<20,0.29
9,GAK5,9/14/2014,11,30,<20,0.05
9,GAK5,9/14/2014,10,40,<20,0.05
9,GAK5,9/14/2014,6,50,<20,0.05
9,GAK5,9/14/2014,14,0,>20,0.06
9,GAK5,9/14/2014,13,10,>20,0.06
9,GAK5,9/14/2014,12,20,>20,0.02
9,GAK5,9/14/2014,11,30,>20,0.01
9,GAK5,9/14/2014,10,40,>20,0
9,GAK5,9/14/2014,6,50,>20,0.01
9,GAK5,9/14/2014,14,0,Total,0.85
9,GAK5,9/14/2014,13,10,Total,0.83
9,GAK5,9/14/2014,12,20,Total,0.31
9,GAK5,9/14/2014,11,30,Total,0.06
9,GAK5,9/14/2014,10,40,Total,0.06
9,GAK5,9/14/2014,6,50,Total,0.06
9,GAK5,9/14/2014,14,0,Total_Phaeo (µg/L),0.29
9,GAK5,9/14/2014,13,10,Total_Phaeo (µg/L),0.3
9,GAK5,9/14/2014,12,20,Total_Phaeo (µg/L),0.19
9,GAK5,9/14/2014,11,30,Total_Phaeo (µg/L),0.1
9,GAK5,9/14/2014,10,40,Total_Phaeo (µg/L),0.07
9,GAK5,9/14/2014,6,50,Total_Phaeo (µg/L),0.07
11,GAK6,9/14/2014,"12,13",0,<20,1.61
11,GAK6,9/14/2014,11,10,<20,1.46
11,GAK6,9/14/2014,10,20,<20,0.49
11,GAK6,9/14/2014,9,30,<20,0.23
11,GAK6,9/14/2014,6,40,<20,0.06
11,GAK6,9/14/2014,5,50,<20,0.04
11,GAK6,9/14/2014,"12,13",0,>20,0.03
11,GAK6,9/14/2014,11,10,>20,0.03
11,GAK6,9/14/2014,10,20,>20,0.02
11,GAK6,9/14/2014,9,30,>20,0.01
11,GAK6,9/14/2014,6,40,>20,0.01
11,GAK6,9/14/2014,5,50,>20,0.01
11,GAK6,9/14/2014,"12,13",0,Total,1.64
11,GAK6,9/14/2014,11,10,Total,1.49
11,GAK6,9/14/2014,10,20,Total,0.5
11,GAK6,9/14/2014,9,30,Total,0.24
11,GAK6,9/14/2014,6,40,Total,0.07
11,GAK6,9/14/2014,5,50,Total,0.04
11,GAK6,9/14/2014,"12,13",0,Total_Phaeo (µg/L),0.31
11,GAK6,9/14/2014,11,10,Total_Phaeo (µg/L),0.37
11,GAK6,9/14/2014,10,20,Total_Phaeo (µg/L),0.25
11,GAK6,9/14/2014,9,30,Total_Phaeo (µg/L),0.14
11,GAK6,9/14/2014,6,40,Total_Phaeo (µg/L),0.08
11,GAK6,9/14/2014,5,50,Total_Phaeo (µg/L),0.06
14,GAK7,9/14/2014,14,0,<20,1.57
14,GAK7,9/14/2014,13,10,<20,1.55
14,GAK7,9/14/2014,12,20,<20,1.05
14,GAK7,9/14/2014,11,30,<20,0.57
14,GAK7,9/14/2014,10,40,<20,0.27
14,GAK7,9/14/2014,9,50,<20,0.06
