Cruise:,TXF14,,,,,
14,GAK7,9/14/2014,14,0,>20,0.02
14,GAK7,9/14/2014,13,10,>20,0.02
14,GAK7,9/14/2014,12,20,>20,0.03
14,GAK7,9/14/2014,11,30,>20,0.01
14,GAK7,9/14/2014,10,40,>20,0.01
14,GAK7,9/14/2014,9,50,>20,0.01
14,GAK7,9/14/2014,14,0,Total,1.59
14,GAK7,9/14/2014,13,10,Total,1.57
14,GAK7,9/14/2014,12,20,Total,1.07
14,GAK7,9/14/2014,11,30,Total,0.58
14,GAK7,9/14/2014,10,40,Total,0.27
14,GAK7,9/14/2014,9,50,Total,0.06
14,GAK7,9/14/2014,14,0,Total_Phaeo (µg/L),0.42
14,GAK7,9/14/2014,13,10,Total_Phaeo (µg/L),0.41
14,GAK7,9/14/2014,12,20,Total_Phaeo (µg/L),0.37
14,GAK7,9/14/2014,11,30,Total_Phaeo (µg/L),0.24
14,GAK7,9/14/2014,10,40,Total_Phaeo (µg/L),0.15
14,GAK7,9/14/2014,9,50,Total_Phaeo (µg/L),0.06
16,GAK8,9/14/2014,14,0,<20,1.55
16,GAK8,9/14/2014,13,10,<20,1.57
16,GAK8,9/14/2014,12,20,<20,1.06
16,GAK8,9/14/2014,11,30,<20,0.59
16,GAK8,9/14/2014,10,40,<20,0.32
16,GAK8,9/14/2014,9,50,<20,0.27
16,GAK8,9/14/2014,14,0,>20,0.01
16,GAK8,9/14/2014,13,10,>20,0.01
16,GAK8,9/14/2014,12,20,>20,0.01
16,GAK8,9/14/2014,11,30,>20,0.01
16,GAK8,9/14/2014,10,40,>20,0.01
16,GAK8,9/14/2014,9,50,>20,0.01
16,GAK8,9/14/2014,14,0,Total,1.57
16,GAK8,9/14/2014,13,10,Total,1.58
16,GAK8,9/14/2014,12,20,Total,1.08
16,GAK8,9/14/2014,11,30,Total,0.6
16,GAK8,9/14/2014,10,40,Total,0.33
16,GAK8,9/14/2014,9,50,Total,0.28
16,GAK8,9/14/2014,14,0,Total_Phaeo (µg/L),0.45
16,GAK8,9/14/2014,13,10,Total_Phaeo (µg/L),0.41
16,GAK8,9/14/2014,12,20,Total_Phaeo (µg/L),0.32
16,GAK8,9/14/2014,11,30,Total_Phaeo (µg/L),0.25
16,GAK8,9/14/2014,10,40,Total_Phaeo (µg/L),0.16
16,GAK8,9/14/2014,9,50,Total_Phaeo (µg/L),0.13
18,GAK13,9/15/2014,14,0,<20,0.73
18,GAK13,9/15/2014,13,10,<20,0.71
18,GAK13,9/15/2014,12,20,<20,0.91
18,GAK13,9/15/2014,11,30,<20,0.53
18,GAK13,9/15/2014,10,40,<20,0.31
18,GAK13,9/15/2014,9,50,<20,0.24
18,GAK13,9/15/2014,14,0,>20,0.02
18,GAK13,9/15/2014,13,10,>20,0.02
18,GAK13,9/15/2014,12,20,>20,0.02
18,GAK13,9/15/2014,11,30,>20,0.04
18,GAK13,9/15/2014,10,40,>20,0.03
18,GAK13,9/15/2014,9,50,>20,0.03
18,GAK13,9/15/2014,14,0,Total,0.75
18,GAK13,9/15/2014,13,10,Total,0.73
18,GAK13,9/15/2014,12,20,Total,0.93
18,GAK13,9/15/2014,11,30,Total,0.57
18,GAK13,9/15/2014,10,40,Total,0.35
18,GAK13,9/15/2014,9,50,Total,0.27
18,GAK13,9/15/2014,14,0,Total_Phaeo (µg/L),0.22
18,GAK13,9/15/2014,13,10,Total_Phaeo (µg/L),0.22
18,GAK13,9/15/2014,12,20,Total_Phaeo (µg/L),0.3
18,GAK13,9/15/2014,11,30,Total_Phaeo (µg/L),0.28
18,GAK13,9/15/2014,10,40,Total_Phaeo (µg/L),0.21
18,GAK13,9/15/2014,9,50,Total_Phaeo (µg/L),0.18
20,GAK12,9/15/2014,14,0,<20,0.82
20,GAK12,9/15/2014,13,10,<20,0.81
20,GAK12,9/15/2014,12,20,<20,1.24
20,GAK12,9/15/2014,11,30,<20,0.3
20,GAK12,9/15/2014,10,40,<20,0.1
20,GAK12,9/15/2014,9,50,<20,0.1
20,GAK12,9/15/2014,14,0,>20,0.02
20,GAK12,9/15/2014,13,10,>20,0.02
20,GAK12,9/15/2014,12,20,>20,0.03
20,GAK12,9/15/2014,11,30,>20,0.04
20,GAK12,9/15/2014,10,40,>20,0.02
20,GAK12,9/15/2014,9,50,>20,0.02
20,GAK12,9/15/2014,14,0,Total,0.84
20,GAK12,9/15/2014,13,10,Total,0.83
20,GAK12,9/15/2014,12,20,Total,1.27
20,GAK12,9/15/2014,11,30,Total,0.34
20,GAK12,9/15/2014,10,40,Total,0.12
20,GAK12,9/15/2014,9,50,Total,0.12
20,GAK12,9/15/2014,14,0,Total_Phaeo (µg/L),0.27
20,GAK12,9/15/2014,13,10,Total_Phaeo (µg/L),0.27
20,GAK12,9/15/2014,12,20,Total_Phaeo (µg/L),0.32
20,GAK12,9/15/2014,11,30,Total_Phaeo (µg/L),0.17
20,GAK12,9/15/2014,10,40,Total_Phaeo (µg/L),0.09
20,GAK12,9/15/2014,9,50,Total_Phaeo (µg/L),0.1
21,GAK11,9/15/2014,14,0,<20,1.2
21,GAK11,9/15/2014,13,10,<20,1.06
21,GAK11,9/15/2014,12,20,<20,0.52
21,GAK11,9/15/2014,11,30,<20,0.3
21,GAK11,9/15/2014,10,40,<20,0.11
21,GAK11,9/15/2014,9,50,<20,0.17
21,GAK11,9/15/2014,14,0,>20,0.03
21,GAK11,9/15/2014,13,10,>20,0.03
21,GAK11,9/15/2014,12,20,>20,0.02
21,GAK11,9/15/2014,11,30,>20,0.05
21,GAK11,9/15/2014,10,40,>20,0.03
21,GAK11,9/15/2014,9,50,>20,0.02
21,GAK11,9/15/2014,14,0,Total,1.23
21,GAK11,9/15/2014,13,10,Total,1.08
21,GAK11,9/15/2014,12,20,Total,0.54
21,GAK11,9/15/2014,11,30,Total,0.35
21,GAK11,9/15/2014,10,40,Total,0.13
21,GAK11,9/15/2014,9,50,Total,0.19
21,GAK11,9/15/2014,14,0,Total_Phaeo (µg/L),0.32
21,GAK11,9/15/2014,13,10,Total_Phaeo (µg/L),0.49
21,GAK11,9/15/2014,12,20,Total_Phaeo (µg/L),0.29
21,GAK11,9/15/2014,11,30,Total_Phaeo (µg/L),0.26
21,GAK11,9/15/2014,10,40,Total_Phaeo (µg/L),0.15
21,GAK11,9/15/2014,9,50,Total_Phaeo (µg/L),0.16
22,GAK10,9/15/2014,14,0,<20,1.54
22,GAK10,9/15/2014,13,10,<20,1.52
22,GAK10,9/15/2014,12,20,<20,1.2
22,GAK10,9/15/2014,11,30,<20,0.18
22,GAK10,9/15/2014,10,40,<20,0.16
22,GAK10,9/15/2014,9,50,<20,0.07
22,GAK10,9/15/2014,14,0,>20,0.03
22,GAK10,9/15/2014,13,10,>20,0.03
22,GAK10,9/15/2014,12,20,>20,0.04
22,GAK10,9/15/2014,11,30,>20,0.02
22,GAK10,9/15/2014,10,40,>20,0.01
22,GAK10,9/15/2014,9,50,>20,0.01
22,GAK10,9/15/2014,14,0,Total,1.57
22,GAK10,9/15/2014,13,10,Total,1.54
22,GAK10,9/15/2014,12,20,Total,1.24
22,GAK10,9/15/2014,11,30,Total,0.19
22,GAK10,9/15/2014,10,40,Total,0.17
22,GAK10,9/15/2014,9,50,Total,0.08
22,GAK10,9/15/2014,14,0,Total_Phaeo (µg/L),0.46
22,GAK10,9/15/2014,13,10,Total_Phaeo (µg/L),0.43
22,GAK10,9/15/2014,12,20,Total_Phaeo (µg/L),0.42
22,GAK10,9/15/2014,11,30,Total_Phaeo (µg/L),0.14
22,GAK10,9/15/2014,10,40,Total_Phaeo (µg/L),0.11
22,GAK10,9/15/2014,9,50,Total_Phaeo (µg/L),0.08
23,GAK9,9/16/2014,14,0,<20,1.6
23,GAK9,9/16/2014,13,10,<20,1.65
23,GAK9,9/16/2014,12,20,<20,1.4
23,GAK9,9/16/2014,11,30,<20,0.3
23,GAK9,9/16/2014,10,40,<20,0.23
23,GAK9,9/16/2014,9,50,<20,0.18
23,GAK9,9/16/2014,14,0,>20,0.03
23,GAK9,9/16/2014,13,10,>20,0.02
23,GAK9,9/16/2014,12,20,>20,0.03
23,GAK9,9/16/2014,11,30,>20,0
23,GAK9,9/16/2014,10,40,>20,0.01
23,GAK9,9/16/2014,9,50,>20,0.01
23,GAK9,9/16/2014,14,0,Total,1.62
23,GAK9,9/16/2014,13,10,Total,1.67
23,GAK9,9/16/2014,12,20,Total,1.43
23,GAK9,9/16/2014,11,30,Total,0.3
23,GAK9,9/16/2014,10,40,Total,0.24
23,GAK9,9/16/2014,9,50,Total,0.19
23,GAK9,9/16/2014,14,0,Total_Phaeo (µg/L),0.42
23,GAK9,9/16/2014,13,10,Total_Phaeo (µg/L),0.39
23,GAK9,9/16/2014,12,20,Total_Phaeo (µg/L),0.42
23,GAK9,9/16/2014,11,30,Total_Phaeo (µg/L),0.18
23,GAK9,9/16/2014,10,40,Total_Phaeo (µg/L),0.12
23,GAK9,9/16/2014,9,50,Total_Phaeo (µg/L),0.11
24,CG2,9/17/2014,14,0,<20,NA
24,CG2,9/17/2014,13,10,<20,NA
24,CG2,9/17/2014,12,20,<20,NA
24,CG2,9/17/2014,11,30,<20,NA
24,CG2,9/17/2014,10,40,<20,NA
24,CG2,9/17/2014,9,50,<20,NA
24,CG2,9/17/2014,14,0,>20,NA
24,CG2,9/17/2014,13,10,>20,NA
24,CG2,9/17/2014,12,20,>20,NA
24,CG2,9/17/2014,11,30,>20,NA
24,CG2,9/17/2014,10,40,>20,NA
24,CG2,9/17/2014,9,50,>20,NA
24,CG2,9/17/2014,14,0,Total,0.49
24,CG2,9/17/2014,13,10,Total,0.21
24,CG2,9/17/2014,12,20,Total,0.19
24,CG2,9/17/2014,11,30,Total,0.17
24,CG2,9/17/2014,10,40,Total,0.19
24,CG2,9/17/2014,9,50,Total,0.11
24,CG2,9/17/2014,14,0,Total_Phaeo (µg/L),0.17
24,CG2,9/17/2014,13,10,Total_Phaeo (µg/L),0.1
24,CG2,9/17/2014,12,20,Total_Phaeo (µg/L),0.11
24,CG2,9/17/2014,11,30,Total_Phaeo (µg/L),0.11
24,CG2,9/17/2014,10,40,Total_Phaeo (µg/L),0.11
24,CG2,9/17/2014,9,50,Total_Phaeo (µg/L),0.06
25,PWSA,9/17/2014,14,0,<20,0.8
25,PWSA,9/17/2014,13,10,<20,0.76
25,PWSA,9/17/2014,12,20,<20,0.41
25,PWSA,9/17/2014,11,30,<20,0.18
25,PWSA,9/17/2014,10,40,<20,0.15
25,PWSA,9/17/2014,9,50,<20,0.11
25,PWSA,9/17/2014,14,0,>20,0.17
25,PWSA,9/17/2014,13,10,>20,0.14
25,PWSA,9/17/2014,12,20,>20,0.09
25,PWSA,9/17/2014,11,30,>20,0.05
25,PWSA,9/17/2014,10,40,>20,0.04
25,PWSA,9/17/2014,9,50,>20,0.03
25,PWSA,9/17/2014,14,0,Total,0.97
25,PWSA,9/17/2014,13,10,Total,0.9
25,PWSA,9/17/2014,12,20,Total,0.5
25,PWSA,9/17/2014,11,30,Total,0.23
25,PWSA,9/17/2014,10,40,Total,0.19
25,PWSA,9/17/2014,9,50,Total,0.13
25,PWSA,9/17/2014,14,0,Total_Phaeo (µg/L),0.23
25,PWSA,9/17/2014,13,10,Total_Phaeo (µg/L),0.24
25,PWSA,9/17/2014,12,20,Total_Phaeo (µg/L),0.15
25,PWSA,9/17/2014,11,30,Total_Phaeo (µg/L),0.13
25,PWSA,9/17/2014,10,40,Total_Phaeo (µg/L),0.09
25,PWSA,9/17/2014,9,50,Total_Phaeo (µg/L),0.08
26,PWSB,9/17/2014,14,0,<20,0.73
26,PWSB,9/17/2014,13,10,<20,0.7
26,PWSB,9/17/2014,12,20,<20,0.43
26,PWSB,9/17/2014,11,30,<20,0.2
26,PWSB,9/17/2014,10,40,<20,0.14
26,PWSB,9/17/2014,9,50,<20,0.11
26,PWSB,9/17/2014,14,0,>20,0.17
26,PWSB,9/17/2014,13,10,>20,0.21
26,PWSB,9/17/2014,12,20,>20,0.1
26,PWSB,9/17/2014,11,30,>20,0.05
26,PWSB,9/17/2014,10,40,>20,0.05
26,PWSB,9/17/2014,9,50,>20,0.03
26,PWSB,9/17/2014,14,0,Total,0.9
26,PWSB,9/17/2014,13,10,Total,0.91
26,PWSB,9/17/2014,12,20,Total,0.54
26,PWSB,9/17/2014,11,30,Total,0.25
26,PWSB,9/17/2014,10,40,Total,0.19
26,PWSB,9/17/2014,9,50,Total,0.13
26,PWSB,9/17/2014,14,0,Total_Phaeo (µg/L),0.3
26,PWSB,9/17/2014,13,10,Total_Phaeo (µg/L),0.31
26,PWSB,9/17/2014,12,20,Total_Phaeo (µg/L),0.18
26,PWSB,9/17/2014,11,30,Total_Phaeo (µg/L),0.09
26,PWSB,9/17/2014,10,40,Total_Phaeo (µg/L),0.09
26,PWSB,9/17/2014,9,50,Total_Phaeo (µg/L),0.09
27A,PWSC,9/17/2014,14,0,<20,0.71
27A,PWSC,9/17/2014,13,10,<20,0.74
27A,PWSC,9/17/2014,12,20,<20,0.52
27A,PWSC,9/17/2014,11,30,<20,0.13
27A,PWSC,9/17/2014,10,40,<20,0.1
27A,PWSC,9/17/2014,9,50,<20,0.08
27A,PWSC,9/17/2014,14,0,>20,0.19
27A,PWSC,9/17/2014,13,10,>20,0.16
27A,PWSC,9/17/2014,12,20,>20,0.15
27A,PWSC,9/17/2014,11,30,>20,0.05
27A,PWSC,9/17/2014,10,40,>20,0.03
27A,PWSC,9/17/2014,9,50,>20,0.02
27A,PWSC,9/17/2014,14,0,Total,0.9
27A,PWSC,9/17/2014,13,10,Total,0.91
27A,PWSC,9/17/2014,12,20,Total,0.67
27A,PWSC,9/17/2014,11,30,Total,0.19
27A,PWSC,9/17/2014,10,40,Total,0.13
27A,PWSC,9/17/2014,9,50,Total,0.1
27A,PWSC,9/17/2014,14,0,Total_Phaeo (µg/L),0.35
27A,PWSC,9/17/2014,13,10,Total_Phaeo (µg/L),0.22
27A,PWSC,9/17/2014,12,20,Total_Phaeo (µg/L),0.17
27A,PWSC,9/17/2014,11,30,Total_Phaeo (µg/L),0.14
27A,PWSC,9/17/2014,10,40,Total_Phaeo (µg/L),0.09
27A,PWSC,9/17/2014,9,50,Total_Phaeo (µg/L),0.07
28,PWSE,9/17/2014,14,0,<20,0.5
28,PWSE,9/17/2014,13,10,<20,0.52
28,PWSE,9/17/2014,12,20,<20,0.43
28,PWSE,9/17/2014,11,30,<20,0.1
28,PWSE,9/17/2014,10,40,<20,0.1
28,PWSE,9/17/2014,9,50,<20,0.1
28,PWSE,9/17/2014,14,0,>20,0.18
28,PWSE,9/17/2014,13,10,>20,0.24
28,PWSE,9/17/2014,12,20,>20,0.13
28,PWSE,9/17/2014,11,30,>20,0.04
28,PWSE,9/17/2014,10,40,>20,0.02
28,PWSE,9/17/2014,9,50,>20,0.04
28,PWSE,9/17/2014,14,0,Total,0.68
28,PWSE,9/17/2014,13,10,Total,0.76
28,PWSE,9/17/2014,12,20,Total,0.56
28,PWSE,9/17/2014,11,30,Total,0.14
28,PWSE,9/17/2014,10,40,Total,0.12
28,PWSE,9/17/2014,9,50,Total,0.14
28,PWSE,9/17/2014,14,0,Total_Phaeo (µg/L),0.2
28,PWSE,9/17/2014,13,10,Total_Phaeo (µg/L),0.18
28,PWSE,9/17/2014,12,20,Total_Phaeo (µg/L),0.25
28,PWSE,9/17/2014,11,30,Total_Phaeo (µg/L),0.1
28,PWSE,9/17/2014,10,40,Total_Phaeo (µg/L),0.1
28,PWSE,9/17/2014,9,50,Total_Phaeo (µg/L),0.11
29,PWS3,9/18/2014,14,0,<20,0.57
29,PWS3,9/18/2014,13,10,<20,0.58
29,PWS3,9/18/2014,12,20,<20,0.58
29,PWS3,9/18/2014,11,30,<20,0.55
29,PWS3,9/18/2014,10,40,<20,0.14
29,PWS3,9/18/2014,9,50,<20,0.33
29,PWS3,9/18/2014,14,0,>20,0.11
29,PWS3,9/18/2014,13,10,>20,0.16
29,PWS3,9/18/2014,12,20,>20,0.11
29,PWS3,9/18/2014,11,30,>20,0.12
29,PWS3,9/18/2014,10,40,>20,0.04
29,PWS3,9/18/2014,9,50,>20,0.06
29,PWS3,9/18/2014,14,0,Total,0.68
29,PWS3,9/18/2014,13,10,Total,0.73
29,PWS3,9/18/2014,12,20,Total,0.7
29,PWS3,9/18/2014,11,30,Total,0.67
29,PWS3,9/18/2014,10,40,Total,0.18
29,PWS3,9/18/2014,9,50,Total,0.39
29,PWS3,9/18/2014,14,0,Total_Phaeo (µg/L),0.21
29,PWS3,9/18/2014,13,10,Total_Phaeo (µg/L),0.17
29,PWS3,9/18/2014,12,20,Total_Phaeo (µg/L),0.15
29,PWS3,9/18/2014,11,30,Total_Phaeo (µg/L),0.17
29,PWS3,9/18/2014,10,40,Total_Phaeo (µg/L),0.06
29,PWS3,9/18/2014,9,50,Total_Phaeo (µg/L),0.13
30,PWS2,9/18/2014,14,0,<20,0.66
30,PWS2,9/18/2014,13,10,<20,0.57
30,PWS2,9/18/2014,12,20,<20,0.49
30,PWS2,9/18/2014,11,30,<20,0.36
30,PWS2,9/18/2014,10,40,<20,0.12
30,PWS2,9/18/2014,9,50,<20,0.31
30,PWS2,9/18/2014,14,0,>20,0.13
30,PWS2,9/18/2014,13,10,>20,0.11
30,PWS2,9/18/2014,12,20,>20,0.07
30,PWS2,9/18/2014,11,30,>20,0.05
30,PWS2,9/18/2014,10,40,>20,0.04
30,PWS2,9/18/2014,9,50,>20,0.06
30,PWS2,9/18/2014,14,0,Total,0.79
30,PWS2,9/18/2014,13,10,Total,0.67
30,PWS2,9/18/2014,12,20,Total,0.56
30,PWS2,9/18/2014,11,30,Total,0.41
30,PWS2,9/18/2014,10,40,Total,0.16
30,PWS2,9/18/2014,9,50,Total,0.36
30,PWS2,9/18/2014,14,0,Total_Phaeo (µg/L),0.21
30,PWS2,9/18/2014,13,10,Total_Phaeo (µg/L),0.19
30,PWS2,9/18/2014,12,20,Total_Phaeo (µg/L),0.15
30,PWS2,9/18/2014,11,30,Total_Phaeo (µg/L),0.15
30,PWS2,9/18/2014,10,40,Total_Phaeo (µg/L),0.05
